id	donor	eartag	day	cage	treatment	strain	type	File	inoculum	donor.id	cage_un	eartag_un	day2
C2537.1399.A.D19	C2537	1399	D19	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1399	D19
C2537.1399.A.D18	C2537	1399	D18	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1399	D18
C2537.1399.A.D16	C2537	1399	D16	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1399	D16
C2537.1399.A.D14	C2537	1399	D14	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1399	D14
C2537.1399.A.D12	C2537	1399	D12	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1399	D12
C2537.1399.A.D10	C2537	1399	D10	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1399	D10
C2537.1399.A.D08	C2537	1399	D08	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1399	D08
C2537.1399.A.D06	C2537	1399	D06	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1399	D06
C2537.1399.A.D03	C2537	1399	D03	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1399	D03
C2537.1400.A.D11	C2537	1400	D11	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D11
C2537.1400.A.D09	C2537	1400	D09	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D09
C2537.1400.A.D07	C2537	1400	D07	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D07
C2537.1400.A.D05	C2537	1400	D05	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D05
C2537.1400.A.D04	C2537	1400	D04	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D04
C2537.1400.A.D02	C2537	1400	D02	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D02
C2537.1400.A.D01	C2537	1400	D01	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D01
C2537.1400.A.D17	C2537	1400	D17	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D17
C2537.1400.A.D15	C2537	1400	D15	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D15
C2537.1400.A.D13	C2537	1400	D13	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D13
C2537.1400.A.D21	C2537	1400	D21	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D21
C2537.1400.A.D20	C2537	1400	D20	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D20
C2537.1400.A.D19	C2537	1400	D19	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D19
C2537.1400.A.D18	C2537	1400	D18	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D18
C2537.1400.A.D16	C2537	1400	D16	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D16
C2537.1400.A.D14	C2537	1400	D14	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D14
C2537.1400.A.D12	C2537	1400	D12	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D12
C2537.1400.A.D10	C2537	1400	D10	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D10
C2537.1400.A.D08	C2537	1400	D08	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D08
C2537.1400.A.D06	C2537	1400	D06	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D06
C2537.1400.A.D03	C2537	1400	D03	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1400	D03
C2537.nt_A.A.D11	C2537	nt_A	D11	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_nt_A	D11
C2537.nt_A.A.D09	C2537	nt_A	D09	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_nt_A	D09
C2537.nt_A.A.D05	C2537	nt_A	D05	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_nt_A	D05
C2537.nt_A.A.D04	C2537	nt_A	D04	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_nt_A	D04
C2537.nt_A.A.D02	C2537	nt_A	D02	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_nt_A	D02
C2537.nt_A.A.D01	C2537	nt_A	D01	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_nt_A	D01
C2537.nt_A.A.D17	C2537	nt_A	D17	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_nt_A	D17
C2537.nt_A.A.D15	C2537	nt_A	D15	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_nt_A	D15
C2537.nt_A.A.D13	C2537	nt_A	D13	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_nt_A	D13
C2537.nt_A.A.D21	C2537	nt_A	D21	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_nt_A	D21
C2537.nt_A.A.D20	C2537	nt_A	D20	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_nt_A	D20
C2537.nt_A.A.D19	C2537	nt_A	D19	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_nt_A	D19
C2537.nt_A.A.D18	C2537	nt_A	D18	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_nt_A	D18
C2537.nt_A.A.D16	C2537	nt_A	D16	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_nt_A	D16
C2537.nt_A.A.D14	C2537	nt_A	D14	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_nt_A	D14
C2537.nt_A.A.D12	C2537	nt_A	D12	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_nt_A	D12
C2537.nt_A.A.D10	C2537	nt_A	D10	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_nt_A	D10
C2537.nt_A.A.D08	C2537	nt_A	D08	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_nt_A	D08
C2537.nt_A.A.D06	C2537	nt_A	D06	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_nt_A	D06
C2537.nt_A.A.D03	C2537	nt_A	D03	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_nt_A	D03
C2537.1308.B.D09	C2537	1308	D09	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1308	D09
C2537.1308.B.D07	C2537	1308	D07	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1308	D07
C2537.1308.B.D01	C2537	1308	D01	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1308	D01
C2537.1308.B.D15	C2537	1308	D15	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1308	D15
C2537.1308.B.D13	C2537	1308	D13	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1308	D13
C2537.1308.B.D21	C2537	1308	D21	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1308	D21
C2537.1308.B.D20	C2537	1308	D20	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1308	D20
C2537.1308.B.D19	C2537	1308	D19	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1308	D19
C2537.1308.B.D18	C2537	1308	D18	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1308	D18
C2537.1308.B.D16	C2537	1308	D16	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1308	D16
C2537.1308.B.D14	C2537	1308	D14	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1308	D14
C2537.1308.B.D12	C2537	1308	D12	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1308	D12
C2537.1308.B.D10	C2537	1308	D10	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1308	D10
C2537.1308.B.D08	C2537	1308	D08	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1308	D08
C2537.1308.B.D06	C2537	1308	D06	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1308	D06
C2537.1308.B.D03	C2537	1308	D03	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1308	D03
C2537.1329.B.D11	C2537	1329	D11	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1329	D11
C2537.1329.B.D09	C2537	1329	D09	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1329	D09
C2537.1329.B.D07	C2537	1329	D07	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1329	D07
C2537.1329.B.D15	C2537	1329	D15	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1329	D15
C2537.1329.B.D13	C2537	1329	D13	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1329	D13
C2537.1329.B.D21	C2537	1329	D21	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1329	D21
C2537.1329.B.D20	C2537	1329	D20	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1329	D20
C2537.1329.B.D19	C2537	1329	D19	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1329	D19
C2537.1329.B.D18	C2537	1329	D18	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1329	D18
C2537.1329.B.D16	C2537	1329	D16	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1329	D16
C2537.1329.B.D14	C2537	1329	D14	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1329	D14
C2537.1329.B.D12	C2537	1329	D12	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1329	D12
C2537.1329.B.D10	C2537	1329	D10	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1329	D10
C2537.1329.B.D08	C2537	1329	D08	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1329	D08
C2537.1329.B.D06	C2537	1329	D06	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1329	D06
C2537.1329.B.D03	C2537	1329	D03	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1329	D03
C2537.1357.B.D11	C2537	1357	D11	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1357	D11
C2537.1357.B.D09	C2537	1357	D09	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1357	D09
C2537.1357.B.D07	C2537	1357	D07	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1357	D07
C2537.1357.B.D05	C2537	1357	D05	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1357	D05
C2537.1357.B.D02	C2537	1357	D02	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1357	D02
C2537.1357.B.D15	C2537	1357	D15	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1357	D15
C2537.1357.B.D13	C2537	1357	D13	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1357	D13
C2537.1357.B.D21	C2537	1357	D21	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1357	D21
C2537.1357.B.D20	C2537	1357	D20	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1357	D20
C2537.1357.B.D19	C2537	1357	D19	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1357	D19
C2537.1357.B.D18	C2537	1357	D18	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1357	D18
C2537.1357.B.D16	C2537	1357	D16	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1357	D16
C2537.1357.B.D14	C2537	1357	D14	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1357	D14
C2537.1357.B.D12	C2537	1357	D12	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1357	D12
C2537.1357.B.D10	C2537	1357	D10	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1357	D10
C2537.1357.B.D08	C2537	1357	D08	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1357	D08
C2537.1357.B.D06	C2537	1357	D06	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1357	D06
C2537.1357.B.D03	C2537	1357	D03	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1357	D03
C2537.1977.B.D11	C2537	1977	D11	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1977	D11
C2537.1977.B.D09	C2537	1977	D09	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1977	D09
C2537.1977.B.D05	C2537	1977	D05	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1977	D05
C2537.1977.B.D02	C2537	1977	D02	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1977	D02
C2537.1977.B.D17	C2537	1977	D17	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1977	D17
C2537.1977.B.D15	C2537	1977	D15	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1977	D15
C2537.1977.B.D13	C2537	1977	D13	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1977	D13
C2537.1977.B.D21	C2537	1977	D21	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1977	D21
C2537.1977.B.D20	C2537	1977	D20	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1977	D20
C2537.1977.B.D19	C2537	1977	D19	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1977	D19
C2537.1977.B.D18	C2537	1977	D18	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1977	D18
C2537.1977.B.D16	C2537	1977	D16	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1977	D16
C2537.1977.B.D14	C2537	1977	D14	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1977	D14
C2537.1977.B.D12	C2537	1977	D12	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1977	D12
C2537.1977.B.D10	C2537	1977	D10	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1977	D10
C2537.1977.B.D08	C2537	1977	D08	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1977	D08
C2537.1977.B.D06	C2537	1977	D06	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1977	D06
C2537.1977.B.D03	C2537	1977	D03	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_1977	D03
C2537.nt_B.B.D09	C2537	nt_B	D09	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_nt_B	D09
C2537.nt_B.B.D07	C2537	nt_B	D07	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_nt_B	D07
C2537.nt_B.B.D05	C2537	nt_B	D05	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_nt_B	D05
C2537.nt_B.B.D17	C2537	nt_B	D17	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_nt_B	D17
C2537.nt_B.B.D15	C2537	nt_B	D15	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_nt_B	D15
C2537.nt_B.B.D13	C2537	nt_B	D13	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_nt_B	D13
C2537.nt_B.B.D21	C2537	nt_B	D21	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_nt_B	D21
C2537.nt_B.B.D20	C2537	nt_B	D20	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_nt_B	D20
C2537.nt_B.B.D19	C2537	nt_B	D19	B	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_B	C2537_B_nt_B	D19
